date,dawn,dusk,avg_temp,avg_cloud,effective_temp,duration,first_run,second_run,trigger_time,ha_status,manual_minutes
2025-11-22,—,—,0.0,27.25,-0.82,180,120,60,migrated,—,
2026-01-19,—,—,11.54,56.55,9.84,162,120,42,migrated,—,
2026-02-14,—,—,16.73,52.67,15.15,103,103,0,migrated,—,
2026-02-18,—,—,15.37,26.39,14.58,111,111,0,migrated,—,
2025-11-23,—,—,13.92,25.88,13.14,133,120,13,migrated,—,
2026-03-19,05:44,17:49,18.99,67.22,16.98,80,80,0,16:49:00,OK,
2025-12-05,—,—,21.0,64.67,19.06,57,57,0,migrated,—,
2026-01-01,—,—,14.27,98.27,11.32,153,120,33,migrated,—,
2026-03-04,06:03,17:38,16.71,73.06,14.52,112,112,0,16:38:00,OK,
2025-12-06,—,—,21.18,94.08,18.36,66,66,0,migrated,—,
2026-01-31,—,—,18.4,37.45,17.28,77,77,0,migrated,—,
2025-12-13,—,—,16.27,56.45,14.58,111,111,0,migrated,—,
2026-03-29,06:31,18:57,16.93,88.67,14.27,116,116,0,17:57:00,OK,
2025-12-20,—,—,17.35,79.18,14.97,105,105,0,migrated,—,
2025-12-04,—,—,21.04,38.17,19.89,46,46,0,migrated,—,
2026-01-09,—,—,14.68,85.09,12.13,148,120,28,migrated,—,
2026-01-12,—,—,12.25,68.5,10.2,159,120,39,migrated,—,
2026-03-09,05:57,17:42,15.17,2.39,15.09,104,104,0,16:42:00,OK,
2026-02-27,06:09,17:34,14.29,32.31,13.32,130,120,10,16:34:00,OK,
2026-03-23,05:39,17:52,16.68,72.17,14.51,112,112,0,16:52:00,OK,
2025-11-24,—,—,24.12,83.42,21.62,33,33,0,migrated,—,
2026-02-11,—,—,16.53,61.83,14.68,110,110,0,migrated,—,
2026-02-17,—,—,17.86,87.17,15.24,101,101,0,migrated,—,
2025-12-19,—,—,16.18,49.36,14.7,110,110,0,migrated,—,
2026-02-02,—,—,20.47,22.18,19.8,47,47,0,migrated,—,
2025-12-28,—,—,12.75,76.36,10.46,158,120,38,migrated,—,
2026-03-11,05:54,17:44,19.87,7.0,19.66,49,49,0,16:44:00,OK,
2025-12-21,—,—,16.3,81.55,13.85,122,120,2,migrated,—,
2025-12-08,—,—,17.37,85.5,14.81,108,108,0,migrated,—,
2025-12-18,—,—,12.64,14.77,12.2,147,120,27,migrated,—,
2026-02-21,—,—,10.28,18.91,9.71,163,120,43,migrated,—,
2026-03-30,06:30,18:57,16.74,66.61,14.74,109,109,0,17:57:00,OK,
2026-01-02,—,—,13.71,59.91,11.91,150,120,30,migrated,—,
2026-04-02,06:26,18:59,19.62,99.06,16.64,84,84,0,17:59:00,OK,
2026-03-20,05:43,17:50,16.55,90.83,13.83,123,120,3,16:50:03,OK,
2025-12-29,—,—,14.94,82.18,12.47,143,120,23,migrated,—,
2025-12-03,—,—,18.78,63.08,16.89,81,81,0,migrated,—,
2026-01-10,—,—,16.39,65.0,14.44,113,113,0,migrated,—,
2025-12-10,—,—,15.11,100.0,12.11,148,120,28,migrated,—,
2026-02-23,—,—,13.16,69.65,11.07,155,120,35,migrated,—,
2026-03-16,05:48,17:47,17.54,58.89,15.77,93,93,0,16:47:00,OK,
